title,link,summary
Skip to main content,https://www.theverge.com/#content,
The VergeThe Verge logo.,https://www.theverge.com/,
Halo: Campaign Evolved is a gorgeous remake that debuts on PS5 and Xbox in 2026,https://www.theverge.com/news/805174/halo-campaign-evolved-remake-xbox-ps5-release-date,
ChatGPT enters the browser wars,https://www.theverge.com/podcast/806031/chatgpt-atlas-ai-browser-wars-vergecast-warner-bros-discovery-sale,
ChatGPT enters the browser wars,https://www.theverge.com/podcast/806031/chatgpt-atlas-ai-browser-wars-vergecast-warner-bros-discovery-sale,
Microsoft Outlook is getting an AI overhaul under new leaders,https://www.theverge.com/tech/806162/microsoft-outlook-ai-overhaul-notepad,
Microsoft Outlook is getting an AI overhaul under new leaders,https://www.theverge.com/tech/806162/microsoft-outlook-ai-overhaul-notepad,
Kirby Air Riders’ impressive accessibility features are a rarity for Nintendo,https://www.theverge.com/games/806242/kirby-air-riders-accessibility-features-nintendo-switch-2,
Kirby Air Riders’ impressive accessibility features are a rarity for Nintendo,https://www.theverge.com/games/806242/kirby-air-riders-accessibility-features-nintendo-switch-2,
OpenAI made ChatGPT better at sifting through your work or school information,https://www.theverge.com/news/806046/openai-chatgpt-company-knowledge-update,
OpenAI made ChatGPT better at sifting through your work or school information,https://www.theverge.com/news/806046/openai-chatgpt-company-knowledge-update,
Ring’s CEO says his cameras can almost ‘zero out crime’ within the next 12 months,https://www.theverge.com/tech/804052/ring-jamie-siminoff-book-ding-dong-release-date-interview,
Ring’s CEO says his cameras can almost ‘zero out crime’ within the next 12 months,https://www.theverge.com/tech/804052/ring-jamie-siminoff-book-ding-dong-release-date-interview,
Bored Ape Yacht Club is making a comeback — as a metaverse,https://www.theverge.com/tech/806492/bored-ape-yacht-club-bayc-crypto-metaverse-otherside-yuga-labs,
Sam Altman’s next startup eyes using sound waves to read your brain,https://www.theverge.com/column/806666/sam-altman-merge-labs-brain-computer-interface-startup-hire,
Apple says Jon Prosser ‘has not indicated’ when he may respond to lawsuit,https://www.theverge.com/news/806664/apple-jon-prosser-not-indicated-respond-lawsuit-trade-secrets-ramacciotti,
Advertiser Content FromThis is the title for the native ad,https://www.theverge.com/,
The ChatGPT Atlas browser still feels like Googling with extra steps,https://www.theverge.com/ai-artificial-intelligence/804931/openai-chatgpt-atlas-hands-on-google-search,
prepping a free version of its Xbox cloud gaming service,https://www.theverge.com/report/791213/xbox-cloud-gaming-free-ad-supported-version,
Xbox’s Prized Sci-Fi Franchise Is Heading to PlayStation,https://www.nytimes.com/2025/10/24/arts/halo-playstation-microsoft-xbox.html,
Wordle has achievements now,https://www.theverge.com/news/806578/nyt-games-badges-achievements-wordle-spelling-bee-connections,
"Meet Mico, Microsoft’s AI version of Clippy",https://www.theverge.com/news/804106/microsoft-mico-copilot-ai-assistant-clippy,
