title,link
39 minutes ago,https://news.ycombinator.com/item?id=45684134
I spent a year making an ASN.1 compiler in D,https://bradley.chatha.dev/blog/dlang-propaganda/asn1-compiler-in-d/
4 hours ago,https://news.ycombinator.com/item?id=45681200
Antislop: A framework for eliminating repetitive patterns in language models,https://arxiv.org/abs/2510.15061
59 minutes ago,https://news.ycombinator.com/item?id=45683897
7 hours ago,https://news.ycombinator.com/item?id=45680237
The game theory of how algorithms can drive up prices,https://www.quantamagazine.org/the-game-theory-of-how-algorithms-can-drive-up-prices-20251022/
5 hours ago,https://news.ycombinator.com/item?id=45680695
VST3 audio plugin format is now MIT,https://forums.steinberg.net/t/vst-3-8-0-sdk-released/1011988
11 hours ago,https://news.ycombinator.com/item?id=45678549
